,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
392,146432,19.444889841146136,LH,V2d,V2,dorsal
393,146735,18.683942756629065,LH,V2d,V2,dorsal
394,146937,28.35939093045088,LH,V2d,V2,dorsal
395,148133,22.03374872972213,LH,V2d,V2,dorsal
396,150423,18.638394006736974,LH,V2d,V2,dorsal
397,155938,17.012582715961003,LH,V2d,V2,dorsal
398,156334,20.459532188839493,LH,V2d,V2,dorsal
399,157336,17.74512300163702,LH,V2d,V2,dorsal
400,158035,19.999357980467632,LH,V2d,V2,dorsal
401,158136,14.251169819166202,LH,V2d,V2,dorsal
402,159239,21.418830850025003,LH,V2d,V2,dorsal
403,162935,18.782923075892587,LH,V2d,V2,dorsal
404,164131,28.155927404077485,LH,V2d,V2,dorsal
405,164636,32.52691774008406,LH,V2d,V2,dorsal
406,165436,17.46577116485616,LH,V2d,V2,dorsal
407,167036,17.463424504392894,LH,V2d,V2,dorsal
408,167440,19.71836397045952,LH,V2d,V2,dorsal
409,169040,28.720689710804994,LH,V2d,V2,dorsal
410,169343,26.55450318392668,LH,V2d,V2,dorsal
411,169444,41.18869854591712,LH,V2d,V2,dorsal
412,169747,26.797097975362302,LH,V2d,V2,dorsal
413,171633,23.05524645648297,LH,V2d,V2,dorsal
414,172130,23.095689874077692,LH,V2d,V2,dorsal
415,173334,19.622234426836723,LH,V2d,V2,dorsal
416,175237,29.20008142736916,LH,V2d,V2,dorsal
417,176542,18.38957535557856,LH,V2d,V2,dorsal
418,177140,16.387969084445608,LH,V2d,V2,dorsal
419,177645,22.4161551935382,LH,V2d,V2,dorsal
420,177746,12.130229705145961,LH,V2d,V2,dorsal
421,178142,26.553779871527347,LH,V2d,V2,dorsal
422,178243,14.645331589042545,LH,V2d,V2,dorsal
423,178647,29.451079881089353,LH,V2d,V2,dorsal
424,180533,15.286116762001733,LH,V2d,V2,dorsal
425,181232,21.173801693053864,LH,V2d,V2,dorsal
426,181636,21.1784865514084,LH,V2d,V2,dorsal
427,182436,35.14702999199995,LH,V2d,V2,dorsal
428,182739,13.096590612963494,LH,V2d,V2,dorsal
429,185442,20.570124890259038,LH,V2d,V2,dorsal
430,186949,16.36967164031717,LH,V2d,V2,dorsal
431,187345,25.338554021085095,LH,V2d,V2,dorsal
432,191033,16.54297026194164,LH,V2d,V2,dorsal
433,191336,28.63012384518304,LH,V2d,V2,dorsal
434,191841,20.116995155197934,LH,V2d,V2,dorsal
435,192439,33.474765406346414,LH,V2d,V2,dorsal
436,192641,23.19935162343186,LH,V2d,V2,dorsal
437,193845,25.890101323399023,LH,V2d,V2,dorsal
438,195041,20.260756943728097,LH,V2d,V2,dorsal
439,196144,33.74228663542585,LH,V2d,V2,dorsal
440,197348,19.13257568506427,LH,V2d,V2,dorsal
441,198653,20.75096002725526,LH,V2d,V2,dorsal
442,199655,25.907116113787122,LH,V2d,V2,dorsal
443,200210,28.1830604916112,LH,V2d,V2,dorsal
444,200311,17.56432576460172,LH,V2d,V2,dorsal
445,200614,15.892546854407778,LH,V2d,V2,dorsal
446,201515,19.680502635599677,LH,V2d,V2,dorsal
447,203418,40.62396793613927,LH,V2d,V2,dorsal
448,204521,30.11371970796967,LH,V2d,V2,dorsal
449,205220,26.38463350442129,LH,V2d,V2,dorsal
450,209228,30.936043663111626,LH,V2d,V2,dorsal
451,212419,30.391256591251636,LH,V2d,V2,dorsal
452,214019,29.668514223499052,LH,V2d,V2,dorsal
453,214524,18.871332621011167,LH,V2d,V2,dorsal
454,221319,27.580157984609766,LH,V2d,V2,dorsal
455,233326,22.569423904818887,LH,V2d,V2,dorsal
456,239136,48.34588628975076,LH,V2d,V2,dorsal
